EPISODE,TURN COUNT,REWARD,REWARD RATE,EPSILON
0,243,24,0.09876543209876543,0.5
1,197,56,0.28426395939086296,0.44423243030112175
2,136,10,0.07352941176470588,0.4116104932709246
3,930,257,0.2763440860215054,0.38846486060224356
4,355,110,0.30985915492957744,0.37051171313258546
5,401,107,0.26683291770573564,0.3558429235720464
6,186,14,0.07526881720430108,0.3434406387146637
7,840,342,0.40714285714285714,0.3326972909033653
8,292,123,0.4212328767123288,0.32322098654184916
9,74,3,0.04054054054054054,0.31474414343370727
10,130,15,0.11538461538461539,0.30707590608914137
11,876,285,0.3253424657534247,0.30007535387316814
12,299,61,0.2040133779264214,0.29363547010206936
13,124,19,0.1532258064516129,0.2876730690157855
14,139,19,0.1366906474820144,0.28212220640351005
15,202,36,0.1782178217821782,0.2769297212044871
16,109,19,0.1743119266055046,0.27205213110899684
17,96,17,0.17708333333333334,0.26745341684297097
18,2465,963,0.39066937119675454,0.26310340631825235
19,330,61,0.18484848484848485,0.258976573734829
20,491,191,0.3890020366598778,0.25505113198558826
21,621,211,0.3397745571658615,0.2513083363902632
22,169,24,0.14201183431952663,0.2477319433283966
23,624,329,0.5272435897435898,0.2443077841742899
24,178,51,0.28651685393258425,0.24102342626517098
25,736,216,0.29347826086956524,0.2378679004031911
26,531,139,0.2617702448210923,0.23483147981277375
27,131,24,0.183206106870229,0.23190549931690724
28,815,382,0.4687116564417178,0.22908220625839731
29,214,25,0.11682242990654206,0.22635463670463185
30,124,32,0.25806451612903225,0.22371651195857456
31,295,83,0.28135593220338984,0.22116215150560886
32,335,97,0.28955223880597014,0.218686399360066
33,267,86,0.32209737827715357,0.2162845614101186
34,555,146,0.26306306306306304,0.2139523518472492
35,1271,555,0.4366640440597954,0.21168584714409272
36,34,0,0.0,0.20948144633923177
37,556,152,0.2733812949640288,0.20733583661937416
38,399,112,0.2807017543859649,0.20524596337299394
39,765,279,0.36470588235294116,0.20320900403595077
40,167,26,0.15568862275449102,0.20122234516709625
41,535,149,0.27850467289719627,0.19928356228671007
42,183,24,0.13114754098360656,0.1973904020875844
43,189,66,0.3492063492063492,0.19554076669138493
44,505,135,0.26732673267326734,0.19373269967443468
45,202,12,0.0594059405940594,0.19196437362951835
46,172,23,0.13372093023255813,0.19023407906545536
47,203,36,0.17733990147783252,0.18854021447541164
48,386,122,0.3160621761658031,0.18688127742932742
49,174,10,0.05747126436781609,0.18525585656629273
50,157,30,0.1910828025477707,0.18366262437992142
51,412,95,0.23058252427184467,0.18210033070431286
52,334,124,0.3712574850299401,0.1805677968205165
53,438,139,0.317351598173516,0.1790639101138955
54,349,136,0.38968481375358166,0.17758761922172683
55,829,381,0.45958986731001206,0.176137929618029
56,95,10,0.10526315789473684,0.17471389958917694
57,189,19,0.10052910052910052,0.17331463655951912
58,333,137,0.4114114114114114,0.17193929373109196
59,183,14,0.07650273224043716,0.1705870670057536
60,493,167,0.33874239350912777,0.16925719216172225
61,311,68,0.21864951768488747,0.1679489422596963
62,157,16,0.10191082802547771,0.1666616252565129
63,267,79,0.2958801498127341,0.16539458180673067
64,686,228,0.3323615160349854,0.16414718323465483
65,422,107,0.25355450236966826,0.16291882966118776
66,128,10,0.078125,0.16170894827153437
67,45,3,0.06666666666666667,0.1605169917112404
68,229,49,0.21397379912663755,0.15934243659932118
69,268,78,0.291044776119403,0.15818478214837095
70,111,15,0.13513513513513514,0.157043548882547
71,126,13,0.10317460317460317,0.15591827744521447
72,244,34,0.13934426229508196,0.15480852748883045
73,274,65,0.23722627737226276,0.15371387664035352
74,1058,319,0.30151228733459357,0.15263391953609556
75,256,74,0.2890625,0.1515682669204959
76,524,216,0.4122137404580153,0.15051654480380505
77,443,122,0.27539503386004516,0.1494783936741157
78,160,13,0.08125,0.14845346775958668
79,157,24,0.15286624203821655,0.14744143433707257
80,316,95,0.30063291139240506,0.14644197308369833
81,339,77,0.22713864306784662,0.145454775468218
82,198,18,0.09090909090909091,0.1444795441792633
83,862,275,0.3190255220417633,0.14351599258783188
84,520,210,0.40384615384615385,0.1425638442415823
85,95,9,0.09473684210526316,0.14162283238870615
86,188,64,0.3404255319148936,0.1406926995293219
87,337,103,0.3056379821958457,0.13977319699250668
88,176,15,0.08522727272727272,0.1388640845372256
89,148,16,0.10810810810810811,0.13796512997555643
90,365,112,0.30684931506849317,0.13707610881673304
91,1500,844,0.5626666666666666,0.1361968039306401
92,324,61,0.1882716049382716,0.13532700522949914
93,346,67,0.1936416184971098,0.13446650936657717
94,220,24,0.10909090909090909,0.13361511945083782
95,125,7,0.056,0.13277264477653344
96,565,184,0.3256637168141593,0.13193890056680785
97,393,77,0.19592875318066158,0.13111370773044917
98,419,129,0.30787589498806683,0.1302968926309906
99,234,34,0.1452991452991453,0.12948828686741448
100,1478,761,0.5148849797023004,0.12868772706576792
101,202,19,0.09405940594059406,0.12789505468104323
102,168,31,0.18452380952380953,0.12711011580872383
103,549,197,0.3588342440801457,0.12633276100543467
104,163,14,0.08588957055214724,0.12556284511817378
105,139,6,0.04316546762589928,0.1248002271216383
106,53,0,0.0,0.12404476996318747
107,97,25,0.25773195876288657,0.1232963404150173
108,182,13,0.07142857142857142,0.12255480893314769
109,703,240,0.3413940256045519,0.12182004952284864
110,225,30,0.13333333333333333,0.12109193961015635
111,164,32,0.1951219512195122,0.1203703599191508
112,1020,374,0.36666666666666664,0.11965519435468802
113,351,62,0.17663817663817663,0.11894632989029869
114,51,0,0.0,0.11824365646098206
115,89,8,0.0898876404494382,0.11754706686064087
116,951,395,0.4153522607781283,0.11685645664391847
117,526,153,0.2908745247148289,0.11617172403221371
118,728,244,0.33516483516483514,0.11549276982366052
119,349,123,0.3524355300859599,0.1148194973068754
120,304,176,0.5789473684210527,0.1141518121782828
121,370,154,0.41621621621621624,0.113489622462844
122,1186,424,0.357504215851602,0.11283283843802089
123,1079,491,0.45505097312326226,0.11218137256081812
124,303,49,0.1617161716171617,0.11153513939775639
125,147,19,0.1292517006802721,0.11089405555763465
126,315,100,0.31746031746031744,0.1102580396269503
127,230,27,0.11739130434782609,0.10962701210785242
128,107,7,0.06542056074766354,0.10900089535850899
129,383,164,0.4281984334203655,0.10837961353577658
130,378,117,0.30952380952380953,0.10776309254006694
131,264,56,0.21212121212121213,0.10715125996230956
132,149,20,0.1342281879194631,0.10654404503291609
133,190,11,0.05789473684210526,0.10594137857265618
134,160,50,0.3125,0.10534319294535921
135,251,42,0.16733067729083664,0.10474942201236215
136,595,245,0.4117647058823529,0.104160001088625
137,345,55,0.15942028985507245,0.10357486690044293
138,382,155,0.40575916230366493,0.10299395754468488
139,176,29,0.16477272727272727,0.10241721244949276
140,268,57,0.2126865671641791,0.10184457233637995
141,572,197,0.34440559440559443,0.10127597918366876
142,1047,368,0.35148042024832854,0.10071137619121073
143,601,290,0.4825291181364393,0.10015070774633628
144,167,36,0.2155688622754491,0.09959391939098278
145,167,34,0.20359281437125748,0.0990409577899522
146,291,103,0.3539518900343643,0.098491770700252
147,86,11,0.12790697674418605,0.09794630694147533
148,193,30,0.15544041450777202,0.09740451636717878
149,641,761,1.187207488299532,0.09686634983721731
150,313,113,0.3610223642172524,0.09633175919099818
151,658,200,0.303951367781155,0.09580069722161766
152,91,3,0.03296703296703297,0.09527311765084606
153,71,0,0.0,0.09474897510492686
154,56,3,0.05357142857142857,0.09422822509116002
155,262,66,0.25190839694656486,0.09371082397523745
156,1274,857,0.6726844583987441,0.09319672895930292
157,251,44,0.1752988047808765,0.09268589806070843
158,147,18,0.12244897959183673,0.09217829009144113
159,671,283,0.4217585692995529,0.09167386463819438
160,340,88,0.25882352941176473,0.09117258204306028
161,154,15,0.09740259740259741,0.09067440338482013
162,156,31,0.1987179487179487,0.09017929046080964
163,224,38,0.16964285714285715,0.08968720576933975
164,282,46,0.16312056737588654,0.08919811249265147
165,72,3,0.041666666666666664,0.08871197448038509
166,247,36,0.145748987854251,0.08822875623354692
167,775,386,0.49806451612903224,0.08774842288895363
168,508,204,0.4015748031496063,0.08727094020413867
169,176,18,0.10227272727272728,0.08679627454270405
170,363,129,0.35537190082644626,0.08632439286010152
171,151,12,0.07947019867549669,0.08585526268982796
172,139,14,0.10071942446043165,0.0853888521300214
173,388,125,0.32216494845360827,0.08492512983044365
174,170,39,0.22941176470588234,0.08446406497983461
175,1479,669,0.45233265720081134,0.08400562729362854
176,253,48,0.18972332015810275,0.08354978700201654
