EPISODE,TURN COUNT,REWARD,REWARD RATE,EPSILON
0,355,137,0.38591549295774646,0.5
1,1019,475,0.4661432777232581,0.44982833405600314
2,162,15,0.09259259259259259,0.42047979088005627
3,192,13,0.06770833333333333,0.3996566681120063
4,144,47,0.3263888888888889,0.38350499927733017
5,197,13,0.06598984771573604,0.37030812493605936
6,289,191,0.6608996539792388,0.35915032666429053
7,164,13,0.07926829268292683,0.3494850021680094
8,264,81,0.3068181818181818,0.34095958176011254
9,235,50,0.2127659574468085,0.3333333333333333
10,121,14,0.11570247933884298,0.3264345524736292
11,231,68,0.2943722943722944,0.32013645899206256
12,686,340,0.4956268221574344,0.3143427746155272
13,83,6,0.07228915662650602,0.3089786607202937
14,107,3,0.028037383177570093,0.30398479015738644
15,208,40,0.19230769230769232,0.29931333622401257
16,215,56,0.26046511627906976,0.29492517977028765
17,200,74,0.37,0.2907879158161156
18,341,61,0.17888563049853373,0.28687439984119517
19,381,186,0.4881889763779528,0.28316166738933646
20,321,56,0.17445482866043613,0.27963011754434675
21,167,19,0.11377245508982035,0.27626288652963227
22,399,122,0.3057644110275689,0.2730453606637345
23,110,7,0.06363636363636363,0.26996479304806564
24,201,26,0.12935323383084577,0.2670099985546604
25,90,9,0.1,0.2641711086715303
26,699,265,0.3791130185979971,0.2614393726401688
27,576,350,0.6076388888888888,0.25880699477629676
28,323,64,0.19814241486068113,0.25626700035017397
29,136,11,0.08088235294117647,0.2538131242133896
30,149,12,0.08053691275167785,0.25143971769428786
31,192,51,0.265625,0.24914167028001566
32,177,26,0.14689265536723164,0.2469143433536854
33,95,3,0.031578947368421054,0.2447535138262908
34,159,24,0.1509433962264151,0.2426553259416207
35,117,15,0.1282051282051282,0.24061624987211877
36,634,195,0.30757097791798105,0.23863304598883417
37,534,280,0.5243445692883895,0.23670273389719831
38,1324,574,0.4335347432024169,0.23482256549558345
39,164,24,0.14634146341463414,0.2329900014453396
40,212,48,0.22641509433962265,0.23120269054671072
