EPISODE,TURN COUNT,REWARD,REWARD RATE,EPSILON
0,227,48,0.21145374449339208,0.75
1,398,239,0.6005025125628141,0.6747425010840047
2,1687,866,0.5133372851215174,0.6307196863200843
3,1083,561,0.518005540166205,0.5994850021680094
4,237,68,0.2869198312236287,0.5752574989159953
5,293,76,0.2593856655290102,0.555462187404089
6,586,217,0.3703071672354949,0.5387254899964358
7,199,43,0.21608040201005024,0.5242275032520141
8,545,192,0.3522935779816514,0.5114393726401687
9,361,87,0.2409972299168975,0.5
10,381,102,0.2677165354330709,0.4896518287104437
11,131,14,0.10687022900763359,0.4802046884880938
12,160,12,0.075,0.4715141619232908
13,283,82,0.28975265017667845,0.4634679910804405
14,73,21,0.2876712328767123,0.45597718523607966
15,332,130,0.39156626506024095,0.4489700043360188
16,167,22,0.1317365269461078,0.44238776965543153
17,1003,552,0.5503489531405783,0.4361818737241735
18,126,6,0.047619047619047616,0.4303115997617928
19,95,3,0.031578947368421054,0.4247425010840047
20,74,0,0.0,0.4194451763165202
21,392,110,0.28061224489795916,0.4143943297944484
22,1070,426,0.3981308411214953,0.4095680409956018
23,104,9,0.08653846153846154,0.40494718957209846
24,90,8,0.08888888888888889,0.4005149978319906
25,355,96,0.2704225352112676,0.39625666300729545
26,177,31,0.1751412429378531,0.39215905896025316
27,208,45,0.21634615384615385,0.3882104921644452
28,188,23,0.12234042553191489,0.384400500525261
29,108,4,0.037037037037037035,0.38071968632008435
30,475,187,0.3936842105263158,0.37715957654143184
31,275,95,0.34545454545454546,0.3737125054200235
32,227,29,0.1277533039647577,0.3703715150305281
33,320,79,0.246875,0.36713027073943616
34,147,15,0.10204081632653061,0.3639829889124311
35,284,56,0.19718309859154928,0.3609243748081782
36,54,0,0.0,0.35794956898325125
37,350,72,0.2057142857142857,0.35505410084579747
38,207,47,0.22705314009661837,0.35223384824337517
39,145,9,0.06206896551724138,0.3494850021680094
40,1474,534,0.3622795115332429,0.3468040358200661
41,135,52,0.3851851851851852,0.3441876774005248
42,302,77,0.25496688741721857,0.34163288610510334
43,255,38,0.14901960784313725,0.33913683087845314
44,364,68,0.18681318681318682,0.33669687155616407
45,183,38,0.20765027322404372,0.3343105420796064
46,226,19,0.084070796460177,0.3319755355160706
47,978,391,0.3997955010224949,0.3296896906561032
48,224,34,0.15178571428571427,0.3274509799928716
49,168,18,0.10714285714285714,0.3252574989159953
50,252,38,0.15079365079365079,0.3231074559755159
51,372,110,0.2956989247311828,0.3209991640913002
52,496,144,0.2903225806451613,0.3189310325998027
53,489,248,0.5071574642126789,0.31690156004425785
54,186,22,0.11827956989247312,0.31490932762643903
55,184,22,0.11956521739130435,0.31295299324844983
56,198,16,0.08080808080808081,0.31103128608187713
57,255,75,0.29411764705882354,0.30914300160926567
58,82,3,0.036585365853658534,0.30728699708946394
59,165,14,0.08484848484848485,0.3054621874040891
60,335,86,0.25671641791044775,0.3036675412473082
61,146,25,0.17123287671232876,0.3019020776254365
62,331,101,0.30513595166163143,0.3001648626366046
63,143,12,0.08391608391608392,0.29845500650402823
64,143,12,0.08391608391608392,0.2967716608392861
65,232,40,0.1724137931034483,0.2951140161145329
66,279,56,0.2007168458781362,0.29348129932479344
67,206,31,0.15048543689320387,0.2918727718234409
68,109,19,0.1743119266055046,0.2902877273156861
69,1132,353,0.3118374558303887,0.28872548999643577
70,124,13,0.10483870967741936,0.28718541282023113
71,295,66,0.22372881355932203,0.28566687589218287
72,245,52,0.21224489795918366,0.284169284969886
73,260,87,0.3346153846153846,0.2826920700672559
74,346,128,0.3699421965317919,0.281234684152075
75,559,115,0.20572450805008943,0.27979660192980216
76,178,32,0.1797752808988764,0.2783773187068795
77,378,75,0.1984126984126984,0.2769763493273799
78,152,9,0.05921052631578947,0.27559322717738965
79,137,24,0.17518248175182483,0.2742275032520141
80,85,4,0.047058823529411764,0.2728787452803375
81,227,35,0.15418502202643172,0.2715465369040708
82,503,259,0.5149105367793241,0.27023047690598145
83,204,24,0.11764705882352941,0.2689301784845296
84,448,149,0.3325892857142857,0.2676452685714268
85,885,345,0.3898305084745763,0.2663753871891081
86,102,9,0.08823529411764706,0.26512018684534533
87,207,51,0.2463768115942029,0.2638793319624577
88,185,42,0.22702702702702704,0.2626524983387718
89,230,51,0.2217391304347826,0.2614393726401688
90,101,14,0.13861386138613863,0.26023965191972664
91,156,19,0.12179487179487179,0.2590530431636111
92,183,26,0.14207650273224043,0.2578792628615162
93,796,245,0.30778894472361806,0.25671803660007536
94,596,371,0.62248322147651,0.255569098677788
95,542,181,0.3339483394833948,0.2544321917401079
96,130,6,0.046153846153846156,0.2533070664334388
97,469,214,0.4562899786780384,0.2521934810768762
98,354,117,0.3305084745762712,0.25109120135061247
99,65,3,0.046153846153846156,0.25
100,1071,405,0.37815126050420167,0.24891965655433923
101,146,27,0.18493150684931506,0.24784995705952073
102,254,85,0.3346456692913386,0.24679069382370689
103,184,36,0.1956521739130435,0.24574166517530494
104,294,122,0.41496598639455784,0.24470267523251543
105,385,101,0.2623376623376623,0.2436735336838074
106,132,3,0.022727272727272728,0.24265405557869757
107,81,0,0.0,0.24164406112826253
108,153,15,0.09803921568627451,0.24064337551484416
109,61,3,0.04918032786885246,0.23965182871044366
110,657,285,0.4337899543378995,0.2386692553033356
111,310,187,0.603225806451613,0.23769549433245463
112,249,35,0.14056224899598393,0.236730389129145
113,165,27,0.16363636363636364,0.23577378716588182
114,215,45,0.20930232558139536,0.23482553991159705
115,87,19,0.21839080459770116,0.23388550269327035
116,199,49,0.24623115577889448,0.23295353456345957
117,223,65,0.2914798206278027,0.23202949817346863
118,262,42,0.16030534351145037,0.23111325965186724
119,159,24,0.1509433962264151,0.23020468848809383
120,586,231,0.39419795221843,0.22930365742088743
121,767,301,0.3924380704041721,0.2284100423313129
122,153,30,0.19607843137254902,0.2275237221401506
123,260,83,0.3192307692307692,0.2266445787094412
124,193,18,0.09326424870466321,0.22577249674798583
125,317,125,0.3943217665615142,0.22490736372060927
126,119,18,0.15126050420168066,0.2240490697610108
127,1435,817,0.5693379790940767,0.22319750758803292
128,167,7,0.041916167664670656,0.2223525724251878
129,217,70,0.3225806451612903,0.22151416192329076
130,200,20,0.1,0.220682176086059
131,627,219,0.3492822966507177,0.2198565171985375
132,236,37,0.15677966101694915,0.21903708975822855
133,418,148,0.35406698564593303,0.21822380040879807
134,157,18,0.11464968152866242,0.21741655787624847
135,779,323,0.4146341463414634,0.21661527290744553
136,174,9,0.05172413793103448,0.21581985821089833
137,87,0,0.0,0.21503022839969077
138,106,13,0.12264150943396226,0.21424629993647626
139,176,17,0.09659090909090909,0.21346799108044046
140,203,23,0.11330049261083744,0.21269522183615497
141,590,148,0.25084745762711863,0.21192791390423582
142,412,109,0.2645631067961165,0.21116599063373453
143,156,15,0.09615384615384616,0.21040937697618756
144,261,36,0.13793103448275862,0.2096579994412563
145,260,34,0.13076923076923078,0.2089117860538907
146,84,3,0.03571428571428571,0.208170666312956
147,304,88,0.2894736842105263,0.20743457115126063
148,178,24,0.1348314606741573,0.2067034328969315
149,63,0,0.0,0.20597718523607966
150,1580,735,0.4651898734177215,0.20525576317670768
151,196,45,0.22959183673469388,0.20453910301380684
152,438,113,0.2579908675799087,0.20382714229560028
153,218,18,0.08256880733944955,0.20311981979088423
154,254,32,0.12598425196850394,0.20241707545742715
155,164,21,0.12804878048780488,0.2017188504113846
156,142,9,0.06338028169014084,0.2010250868976915
157,238,44,0.18487394957983194,0.20033572826139434
158,297,61,0.2053872053872054,0.19965071891988706
159,175,78,0.44571428571428573,0.19897000433601886
160,480,106,0.22083333333333333,0.1982935309920375
161,144,23,0.1597222222222222,0.1976212463643423
162,301,102,0.3388704318936877,0.19695309889901047
163,965,472,0.48911917098445595,0.1962890379880755
164,225,52,0.2311111111111111,0.19562901394652343
165,223,68,0.30493273542600896,0.19497297798998614
166,249,54,0.21686746987951808,0.19432088221310417
167,90,6,0.06666666666666667,0.1936726795685343
168,165,23,0.1393939393939394,0.19302832384658164
169,147,33,0.22448979591836735,0.19238776965543147
170,435,102,0.23448275862068965,0.19175097240196148
171,586,235,0.40102389078498296,0.19111788827311282
172,691,278,0.402315484804631,0.19048847421780113
173,423,212,0.5011820330969267,0.18986268792935013
174,434,299,0.6889400921658986,0.18924048782842628
175,561,181,0.3226381461675579,0.18862183304646252
176,235,44,0.18723404255319148,0.1880066834095483
177,221,56,0.25339366515837103,0.1873949994227765
178,150,15,0.1,0.18678674225502667
179,1358,469,0.34536082474226804,0.1861818737241735
180,100,6,0.06,0.18558035628270386
181,263,28,0.10646387832699619,0.18498215300373122
182,94,4,0.0425531914893617,0.18438722756739256
183,335,65,0.19402985074626866,0.1837955442476158
184,438,106,0.2420091324200913,0.18320706789924657
185,264,85,0.32196969696969696,0.18262176394552077
186,60,3,0.05,0.18203959836587524
187,394,164,0.41624365482233505,0.18146053768408
188,471,201,0.4267515923566879,0.18088454895668893
189,98,0,0.0,0.18031159976179278
190,304,66,0.21710526315789475,0.1797416581880681
191,86,3,0.03488372093023256,0.17917469282411258
192,172,21,0.12209302325581395,0.17861067274805653
193,217,43,0.19815668202764977,0.17804956751744339
194,110,3,0.02727272727272727,0.17749134715937054
195,95,4,0.042105263157894736,0.17693598216088102
196,195,36,0.18461538461538463,0.17638344345960166
197,501,134,0.26746506986027946,0.17583370243461727
198,167,73,0.437125748502994,0.1752867308975734
199,316,73,0.2310126582278481,0.1747425010840047
200,267,50,0.18726591760299627,0.17420098564487774
201,270,49,0.1814814814814815,0.17366215763834403
202,625,245,0.392,0.17312599052169675
203,98,3,0.030612244897959183,0.1725924581435253
204,352,137,0.38920454545454547,0.17206153473606134
205,232,61,0.2629310344827586,0.17153319490771157
206,208,22,0.10576923076923077,0.17100741363577066
207,230,34,0.14782608695652175,0.17048416625930962
208,195,23,0.11794871794871795,0.16996342847223656
209,306,67,0.21895424836601307,0.16944517631652012
210,196,26,0.1326530612244898,0.16892938617557673
211,685,168,0.24525547445255474,0.16841603476781208
212,134,7,0.05223880597014925,0.16790509914031548
213,562,195,0.3469750889679715,0.16739655666270237
214,248,56,0.22580645161290322,0.16689038502109876
215,126,9,0.07142857142857142,0.16638656221226722
216,258,59,0.22868217054263565,0.1658850665378676
217,43,3,0.06976744186046512,0.16538587659884874
218,123,3,0.024390243902439025,0.16488897128997038
219,453,137,0.30242825607064017,0.16439432979444835
220,225,41,0.18222222222222223,0.16390193157872235
221,238,54,0.226890756302521,0.1634117563873404
222,144,3,0.020833333333333332,0.16292378423795983
223,217,53,0.24423963133640553,0.1624379954164593
224,207,21,0.10144927536231885,0.16195437047215933
225,984,441,0.4481707317073171,0.1614728902131497
226,227,52,0.2290748898678414,0.16099353570171926
227,147,9,0.061224489795918366,0.1605162882498865
228,154,28,0.18181818181818182,0.1600411294150279
229,209,28,0.1339712918660287,0.15956804099560173
230,198,53,0.2676767676767677,0.159097005026964
231,80,6,0.075,0.15862800377727515
232,171,109,0.6374269005847953,0.15816101974349528
233,192,96,0.5,0.15769603564746415
234,171,16,0.0935672514619883,0.15723303443206593
235,123,12,0.0975609756097561,0.1567719992574732
236,633,251,0.39652448657187994,0.1563129134974739
237,196,8,0.04081632653061224,0.15585576073587193
238,131,6,0.04580152671755725,0.1554005247629655
239,447,118,0.2639821029082774,0.15494718957209852
240,102,0,0.0,0.1544957393562829
241,1592,888,0.5577889447236181,0.15404615850489212
242,91,3,0.03296703296703297,0.15359843160042197
243,359,146,0.40668523676880225,0.1531525434153176
244,181,25,0.13812154696132597,0.15270847890886685
245,328,99,0.3018292682926829,0.15226622322415517
246,215,124,0.5767441860465117,0.15182576168508355
247,392,177,0.45153061224489793,0.1513870797934458
248,224,33,0.14732142857142858,0.15095016322606591
249,111,3,0.02702702702702703,0.15051499783199063
250,174,18,0.10344827586206896,0.1500815696297405
251,309,79,0.255663430420712,0.14964986480461395
252,163,25,0.15337423312883436,0.1492198697060455
253,77,0,0.0,0.14879157084501538
254,218,39,0.17889908256880735,0.14836495489151125
255,143,19,0.13286713286713286,0.1479400086720376
256,96,3,0.03125,0.14751671916717624
257,840,338,0.4023809523809524,0.1470950735091925
258,366,83,0.226775956284153,0.14667505897968702
259,210,21,0.1,0.14625666300729556
260,241,27,0.11203319502074689,0.14583987316542968
261,149,13,0.087248322147651,0.14542467717006358
262,201,31,0.15422885572139303,0.1450110628775605
263,124,25,0.20161290322580644,0.1445990182825423
264,221,72,0.3257918552036199,0.14418853151579802
265,430,77,0.17906976744186046,0.14377959084223324
266,446,104,0.23318385650224216,0.14337218465885615
267,194,51,0.26288659793814434,0.14296630149280276
268,750,286,0.38133333333333336,0.14256192999939798
269,197,45,0.22842639593908629,0.14215905896025305
270,328,43,0.13109756097560976,0.14175767728139854
271,678,164,0.24188790560471976,0.14135777399145022
272,404,142,0.35148514851485146,0.140959338239811
273,175,30,0.17142857142857143,0.1405623592949029
274,244,38,0.1557377049180328,0.1401668265424343
275,82,0,0.0,0.13977272948369568
276,219,41,0.1872146118721461,0.13938005773388784
277,121,9,0.0743801652892562,0.13898880102048095
278,382,274,0.7172774869109948,0.13859894918160065
279,824,330,0.40048543689320387,0.13821049216444514
280,631,263,0.41679873217115687,0.13782342002373005
281,135,9,0.06666666666666667,0.13743772292015966
282,172,24,0.13953488372093023,0.13705339111892734
283,148,9,0.060810810810810814,0.1366704149882405
284,226,27,0.11946902654867257,0.13628878499787245
285,729,227,0.3113854595336077,0.13590849171773922
286,1216,545,0.44819078947368424,0.1355295258165019
287,243,45,0.18518518518518517,0.13515187806019224
288,149,28,0.18791946308724833,0.13477553931086306
289,425,131,0.30823529411764705,0.13440050052526098
290,78,0,0.0,0.13402675275352316
291,567,162,0.2857142857142857,0.1336542871378954
292,292,67,0.22945205479452055,0.1332830949114726
293,319,97,0.30407523510971785,0.13291316739696069
294,255,108,0.4235294117647059,0.13254449600545914
295,79,0,0.0,0.13217707223526542
296,216,41,0.18981481481481483,0.13181088767069693
297,146,12,0.0821917808219178,0.13144593398093618
298,521,185,0.3550863723608445,0.1310822029188925
299,209,73,0.3492822966507177,0.13071968632008435
300,141,20,0.14184397163120568,0.13035837610153922
301,164,10,0.06097560975609756,0.12999826426071226
302,367,73,0.1989100817438692,0.1296393428744238
303,1028,534,0.519455252918288,0.12928160409781153
304,94,7,0.07446808510638298,0.12892504016330353
305,824,206,0.25,0.12856964337960497
306,297,134,0.4511784511784512,0.12821540613070337
307,220,42,0.19090909090909092,0.12786232087488902
308,201,23,0.11442786069651742,0.12751038014379135
309,269,96,0.35687732342007433,0.12715957654143173
310,680,306,0.45,0.12680990274329063
311,148,18,0.12162162162162163,0.12646135149538917
312,73,3,0.0410958904109589,0.12611391561338792
313,314,77,0.24522292993630573,0.1257675879816963
314,427,107,0.2505854800936768,0.1254223615525999
315,191,17,0.08900523560209424,0.12507822934539892
316,96,9,0.09375,0.1247351844455622
